phenotype,variable,value
51,X4,0.125286829
51,X5,0.124368977
52,X1,0.124368977
52,X2,0.123451124
52,X3,0.125745755
52,X4,0.130793942
52,X5,0.119779715
53,X1,0.127581459
53,X2,0.120697568
53,X3,0.126204681
53,X4,0.129417164
53,X5,0.124368977
54,X1,0.127122533
54,X2,0.122074346
54,X3,0.124368977
54,X4,0.127122533
54,X5,0.122992198
55,X1,0.12391005
55,X2,0.12391005
55,X3,0.123451124
55,X4,0.128040385
55,X5,0.124827903
56,X1,0.125286829
56,X2,0.123451124
56,X3,0.124368977
56,X4,0.125745755
56,X5,0.12391005
57,X1,0.126663607
57,X2,0.12161542
57,X3,0.127122533
57,X4,0.128499312
57,X5,0.124368977
58,X1,0.126204681
58,X2,0.120697568
58,X3,0.127122533
58,X4,0.12987609
58,X5,0.123451124
59,X1,0.125745755
59,X2,0.124368977
59,X3,0.128499312
59,X4,0.125745755
59,X5,0.124368977
60,X1,0.125745755
60,X2,0.12391005
60,X3,0.126663607
60,X4,0.124368977
60,X5,0.126204681
61,X1,0.127122533
61,X2,0.122533272
61,X3,0.127122533
61,X4,0.127581459
61,X5,0.124827903
62,X1,0.127122533
62,X2,0.122074346
62,X3,0.127581459
62,X4,0.124368977
62,X5,0.12391005
63,X1,0.125286829
63,X2,0.12391005
63,X3,0.125745755
63,X4,0.128040385
63,X5,0.119779715
64,X1,0.124827903
64,X2,0.120697568
64,X3,0.128040385
64,X4,0.127581459
64,X5,0.120697568
65,X1,0.125286829
65,X2,0.122074346
65,X3,0.127581459
65,X4,0.127122533
65,X5,0.123451124
66,X1,0.124827903
66,X2,0.122992198
66,X3,0.125745755
66,X4,0.127581459
66,X5,0.124368977
67,X1,0.127122533
67,X2,0.124827903
67,X3,0.126204681
67,X4,0.127581459
67,X5,0.124368977
