OP_absence,OP_exist,OP_rhythem,S_absence,S_exist,S_rhythem,pattern_diff,pattern_same
Corynebacterium.matruchotii_P07,Campylobacter.concisus_P07,Haemophilus.sp..oral.taxon.036_P11,Haemophilus.sp..oral.taxon.036_P20,Actinomyces.wuliandei_P22,Capnocytophaga.sp..FDAARGOS_737_P08,,
Corynebacterium.matruchotii_P08,Campylobacter.concisus_P08,Haemophilus.sp..oral.taxon.036_P14,Haemophilus.sp..oral.taxon.036_P24,Actinomyces.wuliandei_P23,Capnocytophaga.sp..FDAARGOS_737_P09,,
Corynebacterium.matruchotii_P18,Campylobacter.concisus_P09,Haemophilus.sp..oral.taxon.036_P19,Lancefieldella.parvula_P22,Actinomyces.wuliandei_P24,Capnocytophaga.sp..FDAARGOS_737_P11,,
Corynebacterium.matruchotii_P23,Campylobacter.concisus_P11,Haemophilus.sp..oral.taxon.036_P22,Mogibacterium.pumilum_P03,Actinomyces.wuliandei_P25,Capnocytophaga.sp..FDAARGOS_737_P13,,
Dialister.pneumosintes_P05,Campylobacter.concisus_P13,Haemophilus.sp..oral.taxon.036_P25,Mogibacterium.pumilum_P05,Actinomyces.wuliandei_P26,Capnocytophaga.sp..FDAARGOS_737_P16,,
Dialister.pneumosintes_P06,Campylobacter.concisus_P14,Haemophilus.sp..oral.taxon.036_P27,Mogibacterium.pumilum_P08,Aggregatibacter.actinomycetemcomitans_P03,Capnocytophaga.sp..FDAARGOS_737_P17,,
Dialister.pneumosintes_P20,Campylobacter.concisus_P15,Inoviridae.sp._P08,Mogibacterium.pumilum_P13,Aggregatibacter.actinomycetemcomitans_P07,Capnocytophaga.sp..FDAARGOS_737_P22,,
Dialister.pneumosintes_P27,Campylobacter.concisus_P16,Inoviridae.sp._P13,Mogibacterium.pumilum_P15,Aggregatibacter.actinomycetemcomitans_P08,Capnocytophaga.sp..FDAARGOS_737_P23,,
Haemophilus.haemolyticus_P05,Campylobacter.concisus_P17,Inoviridae.sp._P14,Mogibacterium.pumilum_P16,Aggregatibacter.actinomycetemcomitans_P11,Capnocytophaga.sp..FDAARGOS_737_P26,,
Haemophilus.haemolyticus_P24,Campylobacter.concisus_P18,Inoviridae.sp._P16,Mogibacterium.pumilum_P18,Aggregatibacter.actinomycetemcomitans_P14,Dialister.pneumosintes_P07,,
Haemophilus.haemolyticus_P25,Campylobacter.concisus_P19,Inoviridae.sp._P18,Mogibacterium.pumilum_P19,Aggregatibacter.actinomycetemcomitans_P16,Dialister.pneumosintes_P11,,
Haemophilus.influenzae_P05,Campylobacter.concisus_P20,Inoviridae.sp._P19,Mogibacterium.pumilum_P24,Aggregatibacter.actinomycetemcomitans_P19,Dialister.pneumosintes_P17,,
Haemophilus.influenzae_P25,Campylobacter.concisus_P21,Inoviridae.sp._P20,Mycoplasma.hominis_P03,Aggregatibacter.actinomycetemcomitans_P22,Dialister.pneumosintes_P20,,
Haemophilus.parahaemolyticus_P17,Campylobacter.concisus_P22,Inoviridae.sp._P21,Mycoplasma.hominis_P05,Aggregatibacter.actinomycetemcomitans_P26,Dialister.pneumosintes_P21,,
Haemophilus.parahaemolyticus_P25,Campylobacter.concisus_P23,Inoviridae.sp._P24,Mycoplasma.hominis_P06,Aggregatibacter.sp..oral.taxon.513_P03,Dialister.pneumosintes_P25,,
Haemophilus.pittmaniae_P03,Campylobacter.concisus_P24,Inoviridae.sp._P26,Mycoplasma.hominis_P07,Aggregatibacter.sp..oral.taxon.513_P05,Dialister.pneumosintes_P26,,
Haemophilus.pittmaniae_P05,Campylobacter.concisus_P25,Lancefieldella.parvula_P06,Mycoplasma.hominis_P08,Aggregatibacter.sp..oral.taxon.513_P06,Gemella.haemolysans_P05,,
Haemophilus.pittmaniae_P06,Campylobacter.concisus_P26,Lancefieldella.parvula_P08,Mycoplasma.hominis_P09,Aggregatibacter.sp..oral.taxon.513_P07,Gemella.haemolysans_P06,,
Haemophilus.pittmaniae_P07,Campylobacter.concisus_P27,Lancefieldella.parvula_P09,Mycoplasma.hominis_P11,Aggregatibacter.sp..oral.taxon.513_P08,Gemella.haemolysans_P07,,
Haemophilus.pittmaniae_P08,Campylobacter.showae_P03,Lancefieldella.parvula_P13,Mycoplasma.hominis_P13,Aggregatibacter.sp..oral.taxon.513_P09,Gemella.haemolysans_P08,,
Haemophilus.pittmaniae_P09,Campylobacter.showae_P06,Lancefieldella.parvula_P14,Mycoplasma.hominis_P14,Aggregatibacter.sp..oral.taxon.513_P11,Gemella.haemolysans_P09,,
Haemophilus.pittmaniae_P11,Campylobacter.showae_P07,Lancefieldella.parvula_P15,Mycoplasma.hominis_P15,Aggregatibacter.sp..oral.taxon.513_P13,Gemella.haemolysans_P11,,
Haemophilus.pittmaniae_P13,Campylobacter.showae_P08,Lancefieldella.parvula_P16,Mycoplasma.hominis_P16,Aggregatibacter.sp..oral.taxon.513_P14,Gemella.haemolysans_P13,,
Haemophilus.pittmaniae_P15,Campylobacter.showae_P09,Lancefieldella.parvula_P17,Mycoplasma.hominis_P17,Aggregatibacter.sp..oral.taxon.513_P15,Gemella.haemolysans_P15,,
Haemophilus.pittmaniae_P17,Campylobacter.showae_P11,Lancefieldella.parvula_P18,Mycoplasma.hominis_P18,Aggregatibacter.sp..oral.taxon.513_P16,Gemella.haemolysans_P16,,
Haemophilus.pittmaniae_P19,Campylobacter.showae_P13,Lancefieldella.parvula_P19,Mycoplasma.hominis_P19,Aggregatibacter.sp..oral.taxon.513_P17,Gemella.haemolysans_P17,,
Haemophilus.pittmaniae_P20,Campylobacter.showae_P14,Lancefieldella.parvula_P20,Mycoplasma.hominis_P20,Aggregatibacter.sp..oral.taxon.513_P18,Gemella.haemolysans_P18,,
Haemophilus.pittmaniae_P21,Campylobacter.showae_P15,Lancefieldella.parvula_P21,Mycoplasma.hominis_P21,Aggregatibacter.sp..oral.taxon.513_P19,Gemella.haemolysans_P20,,
Haemophilus.pittmaniae_P22,Campylobacter.showae_P16,Lancefieldella.parvula_P22,Mycoplasma.hominis_P22,Aggregatibacter.sp..oral.taxon.513_P20,Gemella.haemolysans_P22,,
Haemophilus.pittmaniae_P23,Campylobacter.showae_P17,Lancefieldella.parvula_P23,Mycoplasma.hominis_P23,Aggregatibacter.sp..oral.taxon.513_P21,Gemella.haemolysans_P23,,
Haemophilus.pittmaniae_P24,Campylobacter.showae_P18,Lancefieldella.parvula_P24,Mycoplasma.hominis_P24,Aggregatibacter.sp..oral.taxon.513_P22,Gemella.haemolysans_P24,,
Haemophilus.pittmaniae_P25,Campylobacter.showae_P19,Lancefieldella.parvula_P26,Mycoplasma.hominis_P25,Aggregatibacter.sp..oral.taxon.513_P23,Gemella.haemolysans_P25,,
Haemophilus.pittmaniae_P27,Campylobacter.showae_P20,Lancefieldella.parvula_P27,Mycoplasma.hominis_P26,Aggregatibacter.sp..oral.taxon.513_P24,Gemella.haemolysans_P26,,
Haemophilus.sp..oral.taxon.036_P05,Campylobacter.showae_P21,Mycoplasma.hominis_P08,Mycoplasma.hominis_P27,Aggregatibacter.sp..oral.taxon.513_P25,Gemella.morbillorum_P05,,
Haemophilus.sp..oral.taxon.036_P09,Campylobacter.showae_P22,Mycoplasma.hominis_P23,Mycoplasma.salivarium_P03,Aggregatibacter.sp..oral.taxon.513_P26,Gemella.morbillorum_P07,,
Haemophilus.sp..oral.taxon.036_P13,Campylobacter.showae_P23,Neisseria.elongata_P08,Mycoplasma.salivarium_P05,Aggregatibacter.sp..oral.taxon.513_P27,Gemella.morbillorum_P08,,
Haemophilus.sp..oral.taxon.036_P15,Campylobacter.showae_P24,Neisseria.elongata_P13,Mycoplasma.salivarium_P06,Bacteroides.heparinolyticus_P07,Gemella.morbillorum_P13,,
Haemophilus.sp..oral.taxon.036_P20,Campylobacter.showae_P25,Neisseria.elongata_P14,Mycoplasma.salivarium_P08,Campylobacter.concisus_P03,Gemella.morbillorum_P14,,
Haemophilus.sp..oral.taxon.036_P23,Campylobacter.showae_P26,Neisseria.elongata_P17,Mycoplasma.salivarium_P09,Campylobacter.concisus_P05,Gemella.morbillorum_P15,,
Haemophilus.sp..oral.taxon.036_P24,Campylobacter.showae_P27,Neisseria.elongata_P18,Mycoplasma.salivarium_P11,Campylobacter.concisus_P06,Gemella.morbillorum_P16,,
Haemophilus.sp..oral.taxon.036_P26,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P03,Neisseria.elongata_P19,Mycoplasma.salivarium_P13,Campylobacter.concisus_P07,Gemella.morbillorum_P20,,
Inoviridae.sp._P05,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P05,Neisseria.elongata_P20,Mycoplasma.salivarium_P14,Campylobacter.concisus_P08,Gemella.morbillorum_P21,,
Inoviridae.sp._P06,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P06,Neisseria.elongata_P21,Mycoplasma.salivarium_P15,Campylobacter.concisus_P09,Gemella.morbillorum_P22,,
Inoviridae.sp._P23,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P07,Neisseria.elongata_P22,Mycoplasma.salivarium_P16,Campylobacter.concisus_P11,Gemella.morbillorum_P23,,
Inoviridae.sp._P25,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P08,Neisseria.elongata_P24,Mycoplasma.salivarium_P18,Campylobacter.concisus_P13,Gemella.morbillorum_P25,,
Mogibacterium.pumilum_P18,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P09,Neisseria.elongata_P26,Mycoplasma.salivarium_P19,Campylobacter.concisus_P14,Gemella.morbillorum_P26,,
Mycoplasma.hominis_P03,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P11,Neisseria.meningitidis_P07,Mycoplasma.salivarium_P20,Campylobacter.concisus_P15,Haemophilus.influenzae_P03,,
Mycoplasma.hominis_P05,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P13,Neisseria.meningitidis_P08,Mycoplasma.salivarium_P21,Campylobacter.concisus_P16,Haemophilus.influenzae_P06,,
Mycoplasma.hominis_P06,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P14,Neisseria.meningitidis_P13,Mycoplasma.salivarium_P22,Campylobacter.concisus_P17,Haemophilus.influenzae_P07,,
Mycoplasma.hominis_P07,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P15,Neisseria.meningitidis_P14,Mycoplasma.salivarium_P23,Campylobacter.concisus_P18,Haemophilus.influenzae_P08,,
Mycoplasma.hominis_P09,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P16,Neisseria.meningitidis_P16,Mycoplasma.salivarium_P24,Campylobacter.concisus_P19,Haemophilus.influenzae_P13,,
Mycoplasma.hominis_P11,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P17,Neisseria.meningitidis_P18,Mycoplasma.salivarium_P25,Campylobacter.concisus_P20,Haemophilus.influenzae_P14,,
Mycoplasma.hominis_P13,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P19,Neisseria.meningitidis_P19,Mycoplasma.salivarium_P26,Campylobacter.concisus_P21,Haemophilus.influenzae_P17,,
Mycoplasma.hominis_P14,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P20,Neisseria.meningitidis_P20,Neisseria.meningitidis_P05,Campylobacter.concisus_P22,Haemophilus.influenzae_P18,,
Mycoplasma.hominis_P15,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P21,Neisseria.meningitidis_P21,Neisseria.meningitidis_P18,Campylobacter.concisus_P23,Haemophilus.influenzae_P19,,
Mycoplasma.hominis_P16,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P22,Neisseria.meningitidis_P26,Neisseria.meningitidis_P23,Campylobacter.concisus_P24,Haemophilus.influenzae_P20,,
Mycoplasma.hominis_P17,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P23,Neisseria.mucosa_P06,Neisseria.meningitidis_P25,Campylobacter.concisus_P25,Haemophilus.influenzae_P21,,
Mycoplasma.hominis_P18,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P24,Neisseria.mucosa_P08,Olsenella.sp..oral.taxon.807_P05,Campylobacter.concisus_P26,Haemophilus.influenzae_P22,,
Mycoplasma.hominis_P19,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P25,Neisseria.mucosa_P13,Peptostreptococcus.anaerobius_P03,Campylobacter.concisus_P27,Haemophilus.influenzae_P23,,
Mycoplasma.hominis_P20,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P26,Neisseria.mucosa_P14,Peptostreptococcus.anaerobius_P05,Campylobacter.showae_P03,Haemophilus.influenzae_P25,,
Mycoplasma.hominis_P21,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P27,Neisseria.mucosa_P16,Peptostreptococcus.anaerobius_P06,Campylobacter.showae_P05,Haemophilus.influenzae_P26,,
Mycoplasma.hominis_P22,Capnocytophaga.endodontalis_P03,Neisseria.mucosa_P18,Peptostreptococcus.anaerobius_P07,Campylobacter.showae_P06,Haemophilus.parainfluenzae_P03,,
Mycoplasma.hominis_P24,Capnocytophaga.endodontalis_P07,Neisseria.mucosa_P19,Peptostreptococcus.anaerobius_P08,Campylobacter.showae_P07,Haemophilus.parainfluenzae_P05,,
Mycoplasma.hominis_P25,Capnocytophaga.endodontalis_P08,Neisseria.mucosa_P20,Peptostreptococcus.anaerobius_P09,Campylobacter.showae_P08,Haemophilus.parainfluenzae_P07,,
Mycoplasma.hominis_P26,Capnocytophaga.endodontalis_P09,Neisseria.mucosa_P21,Peptostreptococcus.anaerobius_P11,Campylobacter.showae_P09,Haemophilus.parainfluenzae_P08,,
Mycoplasma.hominis_P27,Capnocytophaga.endodontalis_P11,Neisseria.mucosa_P26,Peptostreptococcus.anaerobius_P13,Campylobacter.showae_P11,Haemophilus.parainfluenzae_P09,,
Mycoplasma.salivarium_P05,Capnocytophaga.endodontalis_P13,Olsenella.sp..oral.taxon.807_P06,Peptostreptococcus.anaerobius_P14,Campylobacter.showae_P13,Haemophilus.parainfluenzae_P11,,
Mycoplasma.salivarium_P09,Capnocytophaga.endodontalis_P14,Olsenella.sp..oral.taxon.807_P08,Peptostreptococcus.anaerobius_P15,Campylobacter.showae_P14,Haemophilus.parainfluenzae_P13,,
Mycoplasma.salivarium_P13,Capnocytophaga.endodontalis_P16,Olsenella.sp..oral.taxon.807_P14,Peptostreptococcus.anaerobius_P16,Campylobacter.showae_P15,Haemophilus.parainfluenzae_P14,,
Mycoplasma.salivarium_P15,Capnocytophaga.endodontalis_P19,Olsenella.sp..oral.taxon.807_P16,Peptostreptococcus.anaerobius_P17,Campylobacter.showae_P16,Haemophilus.parainfluenzae_P17,,
Mycoplasma.salivarium_P16,Capnocytophaga.endodontalis_P20,Olsenella.sp..oral.taxon.807_P17,Peptostreptococcus.anaerobius_P18,Campylobacter.showae_P17,Haemophilus.parainfluenzae_P18,,
Mycoplasma.salivarium_P18,Capnocytophaga.endodontalis_P21,Olsenella.sp..oral.taxon.807_P19,Peptostreptococcus.anaerobius_P19,Campylobacter.showae_P19,Haemophilus.parainfluenzae_P20,,
Mycoplasma.salivarium_P20,Capnocytophaga.endodontalis_P22,Olsenella.sp..oral.taxon.807_P20,Peptostreptococcus.anaerobius_P20,Campylobacter.showae_P20,Haemophilus.parainfluenzae_P21,,
Mycoplasma.salivarium_P24,Capnocytophaga.endodontalis_P24,Olsenella.sp..oral.taxon.807_P21,Peptostreptococcus.anaerobius_P21,Campylobacter.showae_P21,Haemophilus.parainfluenzae_P25,,
Mycoplasma.salivarium_P26,Capnocytophaga.endodontalis_P26,Olsenella.sp..oral.taxon.807_P23,Peptostreptococcus.anaerobius_P22,Campylobacter.showae_P22,Haemophilus.parainfluenzae_P26,,
Mycoplasma.salivarium_P27,Capnocytophaga.endodontalis_P27,Olsenella.sp..oral.taxon.807_P24,Peptostreptococcus.anaerobius_P23,Campylobacter.showae_P23,Haemophilus.pittmaniae_P03,,
Neisseria.elongata_P05,Capnocytophaga.gingivalis_P03,Olsenella.sp..oral.taxon.807_P27,Peptostreptococcus.anaerobius_P24,Campylobacter.showae_P24,Haemophilus.pittmaniae_P21,,
Neisseria.elongata_P06,Capnocytophaga.gingivalis_P05,Peptostreptococcus.anaerobius_P26,Peptostreptococcus.anaerobius_P25,Campylobacter.showae_P25,Haemophilus.pittmaniae_P26,,
Neisseria.meningitidis_P05,Capnocytophaga.gingivalis_P06,Porphyromonas.endodontalis_P11,Peptostreptococcus.anaerobius_P26,Campylobacter.showae_P26,Mogibacterium.pumilum_P07,,
Neisseria.meningitidis_P06,Capnocytophaga.gingivalis_P07,Porphyromonas.endodontalis_P17,Peptostreptococcus.anaerobius_P27,Campylobacter.showae_P27,Mogibacterium.pumilum_P14,,
Neisseria.meningitidis_P15,Capnocytophaga.gingivalis_P08,Porphyromonas.endodontalis_P21,Porphyromonas.endodontalis_P03,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P03,Mogibacterium.pumilum_P17,,
Neisseria.meningitidis_P23,Capnocytophaga.gingivalis_P09,Porphyromonas.endodontalis_P23,Porphyromonas.endodontalis_P05,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P06,Mogibacterium.pumilum_P20,,
Neisseria.meningitidis_P25,Capnocytophaga.gingivalis_P11,Porphyromonas.gingivalis_P13,Porphyromonas.endodontalis_P06,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P07,Mogibacterium.pumilum_P23,,
Neisseria.mucosa_P05,Capnocytophaga.gingivalis_P13,Porphyromonas.gingivalis_P14,Porphyromonas.endodontalis_P07,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P08,Mogibacterium.pumilum_P25,,
Olsenella.sp..oral.taxon.807_P05,Capnocytophaga.gingivalis_P14,Porphyromonas.gingivalis_P19,Porphyromonas.endodontalis_P08,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P09,Mogibacterium.pumilum_P26,,
Peptostreptococcus.anaerobius_P03,Capnocytophaga.gingivalis_P15,Porphyromonas.gingivalis_P21,Porphyromonas.endodontalis_P09,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P11,Mogibacterium.pumilum_P27,,
Peptostreptococcus.anaerobius_P05,Capnocytophaga.gingivalis_P16,Porphyromonas.gingivalis_P23,Porphyromonas.endodontalis_P11,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P14,Mycoplasma.salivarium_P07,,
Peptostreptococcus.anaerobius_P08,Capnocytophaga.gingivalis_P17,Porphyromonas.gingivalis_P26,Porphyromonas.endodontalis_P13,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P15,Mycoplasma.salivarium_P17,,
Peptostreptococcus.anaerobius_P09,Capnocytophaga.gingivalis_P18,Porphyromonas.gingivalis_P27,Porphyromonas.endodontalis_P14,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P17,Mycoplasma.salivarium_P27,,
Peptostreptococcus.anaerobius_P11,Capnocytophaga.gingivalis_P19,Prevotella.dentalis_P03,Porphyromonas.endodontalis_P15,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P19,Myoviridae.sp._P05,,
Peptostreptococcus.anaerobius_P13,Capnocytophaga.gingivalis_P20,Prevotella.dentalis_P17,Porphyromonas.endodontalis_P16,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P20,Myoviridae.sp._P07,,
Peptostreptococcus.anaerobius_P14,Capnocytophaga.gingivalis_P21,Prevotella.dentalis_P21,Porphyromonas.endodontalis_P17,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P21,Myoviridae.sp._P08,,
Peptostreptococcus.anaerobius_P15,Capnocytophaga.gingivalis_P22,Prevotella.dentalis_P23,Porphyromonas.endodontalis_P18,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P22,Myoviridae.sp._P13,,
Peptostreptococcus.anaerobius_P16,Capnocytophaga.gingivalis_P23,Prevotella.denticola_P06,Porphyromonas.endodontalis_P19,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P23,Myoviridae.sp._P14,,
Peptostreptococcus.anaerobius_P18,Capnocytophaga.gingivalis_P24,Prevotella.denticola_P08,Porphyromonas.endodontalis_P20,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P24,Myoviridae.sp._P15,,
Peptostreptococcus.anaerobius_P19,Capnocytophaga.gingivalis_P25,Prevotella.denticola_P09,Porphyromonas.endodontalis_P21,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P25,Myoviridae.sp._P17,,
Peptostreptococcus.anaerobius_P20,Capnocytophaga.gingivalis_P26,Prevotella.denticola_P14,Porphyromonas.endodontalis_P22,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P26,Myoviridae.sp._P18,,
Peptostreptococcus.anaerobius_P21,Capnocytophaga.gingivalis_P27,Prevotella.denticola_P15,Porphyromonas.endodontalis_P23,Candidatus.Saccharibacteria.bacterium.oral.taxon.488_P27,Myoviridae.sp._P20,,
Peptostreptococcus.anaerobius_P24,Capnocytophaga.sp..FDAARGOS_737_P03,Prevotella.denticola_P16,Porphyromonas.endodontalis_P24,Capnocytophaga.endodontalis_P03,Myoviridae.sp._P23,,
Peptostreptococcus.anaerobius_P25,Capnocytophaga.sp..FDAARGOS_737_P07,Prevotella.denticola_P19,Porphyromonas.endodontalis_P25,Capnocytophaga.endodontalis_P07,Myoviridae.sp._P25,,
Peptostreptococcus.anaerobius_P27,Capnocytophaga.sp..FDAARGOS_737_P08,Prevotella.denticola_P21,Porphyromonas.endodontalis_P26,Capnocytophaga.endodontalis_P08,Myoviridae.sp._P26,,
Porphyromonas.endodontalis_P03,Capnocytophaga.sp..FDAARGOS_737_P09,Prevotella.denticola_P22,Porphyromonas.endodontalis_P27,Capnocytophaga.endodontalis_P09,Podoviridae.sp._P05,,
Porphyromonas.endodontalis_P05,Capnocytophaga.sp..FDAARGOS_737_P11,Prevotella.denticola_P24,Porphyromonas.gingivalis_P05,Capnocytophaga.endodontalis_P11,Podoviridae.sp._P07,,
Porphyromonas.endodontalis_P08,Capnocytophaga.sp..FDAARGOS_737_P14,Prevotella.denticola_P26,Porphyromonas.gingivalis_P06,Capnocytophaga.endodontalis_P13,Podoviridae.sp._P08,,
Porphyromonas.endodontalis_P09,Capnocytophaga.sp..FDAARGOS_737_P15,Prevotella.fusca_P09,Porphyromonas.gingivalis_P08,Capnocytophaga.endodontalis_P14,Podoviridae.sp._P13,,
Porphyromonas.endodontalis_P13,Capnocytophaga.sp..FDAARGOS_737_P16,Prevotella.fusca_P14,Porphyromonas.gingivalis_P13,Capnocytophaga.endodontalis_P15,Podoviridae.sp._P14,,
Porphyromonas.endodontalis_P14,Capnocytophaga.sp..FDAARGOS_737_P17,Prevotella.fusca_P17,Porphyromonas.gingivalis_P16,Capnocytophaga.endodontalis_P16,Podoviridae.sp._P15,,
Porphyromonas.endodontalis_P15,Capnocytophaga.sp..FDAARGOS_737_P18,Prevotella.fusca_P21,Porphyromonas.gingivalis_P18,Capnocytophaga.endodontalis_P17,Podoviridae.sp._P17,,
Porphyromonas.endodontalis_P16,Capnocytophaga.sp..FDAARGOS_737_P19,Prevotella.fusca_P22,Porphyromonas.gingivalis_P24,Capnocytophaga.endodontalis_P18,Podoviridae.sp._P18,,
Porphyromonas.endodontalis_P18,Capnocytophaga.sp..FDAARGOS_737_P20,Prevotella.fusca_P23,Porphyromonas.gingivalis_P26,Capnocytophaga.endodontalis_P19,Podoviridae.sp._P20,,
Porphyromonas.endodontalis_P19,Capnocytophaga.sp..FDAARGOS_737_P21,Prevotella.fusca_P24,Porphyromonas.gingivalis_P27,Capnocytophaga.endodontalis_P20,Podoviridae.sp._P22,,
Porphyromonas.endodontalis_P20,Capnocytophaga.sp..FDAARGOS_737_P22,Prevotella.fusca_P25,Prevotella.dentalis_P03,Capnocytophaga.endodontalis_P21,Podoviridae.sp._P23,,
Porphyromonas.endodontalis_P24,Capnocytophaga.sp..FDAARGOS_737_P23,Prevotella.histicola_P06,Prevotella.dentalis_P05,Capnocytophaga.endodontalis_P22,Podoviridae.sp._P24,,
Porphyromonas.endodontalis_P25,Capnocytophaga.sp..FDAARGOS_737_P25,Prevotella.histicola_P08,Prevotella.dentalis_P06,Capnocytophaga.endodontalis_P23,Podoviridae.sp._P25,,
Porphyromonas.endodontalis_P26,Capnocytophaga.sp..FDAARGOS_737_P26,Prevotella.histicola_P09,Prevotella.dentalis_P08,Capnocytophaga.endodontalis_P24,Podoviridae.sp._P26,,
Porphyromonas.endodontalis_P27,Capnocytophaga.sp..FDAARGOS_737_P27,Prevotella.histicola_P13,Prevotella.dentalis_P11,Capnocytophaga.endodontalis_P25,Prevotella.denticola_P03,,
Porphyromonas.gingivalis_P05,Cardiobacterium.hominis_P03,Prevotella.histicola_P16,Prevotella.dentalis_P13,Capnocytophaga.endodontalis_P26,Prevotella.denticola_P05,,
Porphyromonas.gingivalis_P18,Cardiobacterium.hominis_P05,Prevotella.histicola_P18,Prevotella.dentalis_P14,Capnocytophaga.endodontalis_P27,Prevotella.denticola_P06,,
Porphyromonas.gingivalis_P24,Cardiobacterium.hominis_P07,Prevotella.histicola_P19,Prevotella.dentalis_P15,Capnocytophaga.gingivalis_P03,Prevotella.denticola_P07,,
Prevotella.dentalis_P05,Cardiobacterium.hominis_P08,Prevotella.histicola_P21,Prevotella.dentalis_P16,Capnocytophaga.gingivalis_P05,Prevotella.denticola_P14,,
Prevotella.dentalis_P06,Cardiobacterium.hominis_P09,Prevotella.histicola_P22,Prevotella.dentalis_P18,Capnocytophaga.gingivalis_P06,Prevotella.denticola_P15,,
Prevotella.dentalis_P08,Cardiobacterium.hominis_P11,Prevotella.histicola_P23,Prevotella.dentalis_P19,Capnocytophaga.gingivalis_P07,Prevotella.denticola_P19,,
Prevotella.dentalis_P09,Cardiobacterium.hominis_P13,Prevotella.histicola_P24,Prevotella.dentalis_P20,Capnocytophaga.gingivalis_P08,Prevotella.denticola_P20,,
Prevotella.dentalis_P13,Cardiobacterium.hominis_P14,Prevotella.histicola_P25,Prevotella.dentalis_P21,Capnocytophaga.gingivalis_P09,Prevotella.denticola_P23,,
Prevotella.dentalis_P14,Cardiobacterium.hominis_P15,Prevotella.histicola_P26,Prevotella.dentalis_P22,Capnocytophaga.gingivalis_P11,Prevotella.denticola_P25,,
Prevotella.dentalis_P15,Cardiobacterium.hominis_P16,Prevotella.jejuni_P06,Prevotella.dentalis_P23,Capnocytophaga.gingivalis_P13,Prevotella.denticola_P26,,
Prevotella.dentalis_P16,Cardiobacterium.hominis_P17,Prevotella.jejuni_P08,Prevotella.dentalis_P24,Capnocytophaga.gingivalis_P14,Prevotella.intermedia_P03,,
Prevotella.dentalis_P18,Cardiobacterium.hominis_P18,Prevotella.jejuni_P09,Prevotella.dentalis_P25,Capnocytophaga.gingivalis_P15,Prevotella.intermedia_P07,,
Prevotella.dentalis_P19,Cardiobacterium.hominis_P19,Prevotella.jejuni_P13,Prevotella.dentalis_P26,Capnocytophaga.gingivalis_P16,Prevotella.intermedia_P11,,
Prevotella.dentalis_P20,Cardiobacterium.hominis_P20,Prevotella.jejuni_P14,Prevotella.dentalis_P27,Capnocytophaga.gingivalis_P17,Prevotella.intermedia_P17,,
Prevotella.dentalis_P24,Cardiobacterium.hominis_P21,Prevotella.jejuni_P16,Prevotella.denticola_P08,Capnocytophaga.gingivalis_P18,Prevotella.intermedia_P19,,
Prevotella.dentalis_P25,Cardiobacterium.hominis_P22,Prevotella.jejuni_P17,Prevotella.denticola_P13,Capnocytophaga.gingivalis_P19,Prevotella.intermedia_P20,,
Prevotella.dentalis_P26,Cardiobacterium.hominis_P23,Prevotella.jejuni_P18,Prevotella.denticola_P16,Capnocytophaga.gingivalis_P20,Prevotella.intermedia_P21,,
