OP_absence,OP_exist,OP_rhythem,S_absence,S_exist,S_rhythem,pattern_diff,pattern_same
Actinomyces.weissii_P13,Actinomyces.sp..oral.taxon.897_P15,Capnocytophaga.gingivalis_P08,Aggregatibacter.actinomycetemcomitans_P15,Actinomyces.sp..oral.taxon.897_P03,Actinomyces.viscosus_P17,Streptococcus.oralis_P07,Prevotella.sp..oral.taxon.299_P16
Actinomyces.weissii_P16,Actinomyces.sp..oral.taxon.897_P16,Capnocytophaga.gingivalis_P13,Aggregatibacter.actinomycetemcomitans_P17,Actinomyces.sp..oral.taxon.897_P05,Actinomyces.viscosus_P18,Streptococcus.oralis_P13,Prevotella.sp..oral.taxon.299_P20
Actinomyces.weissii_P17,Actinomyces.sp..oral.taxon.897_P17,Capnocytophaga.gingivalis_P14,Aggregatibacter.actinomycetemcomitans_P18,Actinomyces.sp..oral.taxon.897_P06,Actinomyces.viscosus_P19,Streptococcus.sp..1643_P05,Prevotella.sp..oral.taxon.299_P23
Actinomyces.weissii_P18,Actinomyces.sp..oral.taxon.897_P19,Capnocytophaga.gingivalis_P17,Aggregatibacter.actinomycetemcomitans_P20,Actinomyces.sp..oral.taxon.897_P07,Actinomyces.viscosus_P21,Streptococcus.sp..1643_P07,Prevotella.sp..oral.taxon.299_P25
Actinomyces.weissii_P20,Actinomyces.sp..oral.taxon.897_P20,Capnocytophaga.gingivalis_P19,Aggregatibacter.actinomycetemcomitans_P21,Actinomyces.sp..oral.taxon.897_P08,Actinomyces.viscosus_P22,Streptococcus.sp..1643_P08,Prevotella.veroralis_P17
Actinomyces.weissii_P23,Actinomyces.sp..oral.taxon.897_P21,Capnocytophaga.gingivalis_P20,Aggregatibacter.actinomycetemcomitans_P23,Actinomyces.sp..oral.taxon.897_P09,Actinomyces.weissii_P06,Streptococcus.sp..1643_P13,Prevotella.veroralis_P19
Actinomyces.weissii_P26,Actinomyces.sp..oral.taxon.897_P22,Capnocytophaga.gingivalis_P21,Aggregatibacter.actinomycetemcomitans_P24,Actinomyces.sp..oral.taxon.897_P11,Actinomyces.weissii_P08,Streptococcus.sp..NPS.308_P07,Prevotella.veroralis_P21
Actinomyces.weissii_P27,Actinomyces.sp..oral.taxon.897_P24,Capnocytophaga.gingivalis_P23,Aggregatibacter.actinomycetemcomitans_P25,Actinomyces.sp..oral.taxon.897_P13,Actinomyces.weissii_P11,Streptococcus.sp..NPS.308_P13,Prevotella.veroralis_P23
Actinomyces.wuliandei_P05,Actinomyces.sp..oral.taxon.897_P25,Capnocytophaga.gingivalis_P24,Aggregatibacter.actinomycetemcomitans_P27,Actinomyces.sp..oral.taxon.897_P14,Actinomyces.weissii_P13,Streptococcus.sp..oral.taxon.064_P13,Prevotella.veroralis_P26
Actinomyces.wuliandei_P06,Actinomyces.sp..oral.taxon.897_P26,Capnocytophaga.gingivalis_P26,Bacteroides.heparinolyticus_P03,Actinomyces.sp..oral.taxon.897_P15,Actinomyces.weissii_P15,Streptococcus.sp..VT.162_P07,Streptococcus.sp..1643_P19
